文件名,参考文本,识别结果,CER(%),错误数,总字符数,严重程度
"DF0006_0147.wav","我需要把温度设成十七","我需要把温度设成十七。",0,0,10,"轻度 / 正常"
"DF0006_0148.wav","变温温度调至四度","变温温度调至四度。",0,0,8,"轻度 / 正常"
"DF0006_0149.wav","变温室温度设为零下十三度","变温室温度设为零下十三度。",0,0,12,"轻度 / 正常"
"DF0006_0150.wav","请你把温度切换到二十六","请你把温度切换到26.",27.27,3,11,"中度"
"DF0006_0151.wav","西屋空气净化器开机","西屋空气净化器开机。",0,0,9,"轻度 / 正常"
"DF0006_0152.wav","省电关闭","省电关闭。",0,0,4,"轻度 / 正常"
"DF0006_0153.wav","冷冻温度调至负二十二度档","冷冻温度调至负二十二度档。",0,0,12,"轻度 / 正常"
"DF0006_0154.wav","变温室温度设为负七摄氏度档","变温室温度设为负七摄氏度档。",0,0,13,"轻度 / 正常"
"DF0006_0155.wav","变温室温度调至负七度","变温室温度调至负七度。",0,0,10,"轻度 / 正常"
"DF0006_0156.wav","请你把温度切换到二十五度","请你把温度切换到25度。",25,3,12,"中度"
"DF0006_0157.wav","请帮我把温度打到十九","请帮我把温度打到十九。",0,0,10,"轻度 / 正常"
"DF0006_0158.wav","变温温度设定零下十二度档","变温温度设定零下十二度档。",0,0,12,"轻度 / 正常"
"DF0006_0159.wav","请你把空调温度打到二十一","请你把空调温度打到二十一。",0,0,12,"轻度 / 正常"
"DF0006_0160.wav","变温温度调至至负十八摄氏度档","变温温度调至负十八摄氏度档。",7.14,1,14,"轻度 / 正常"
"DF0006_0161.wav","温度增强到十六度","温度增强到十六度。",0,0,8,"轻度 / 正常"
"DF0006_0162.wav","摆上点","晚上减。",66.67,2,3,"重度"
"DF0006_0163.wav","把温度放小为十六","把温度放小为十六。",0,0,8,"轻度 / 正常"
"DF0006_0164.wav","请帮我把空调温度切换到十七度","请帮我把空调温度切换到17度。",14.29,2,14,"中度"
"DF0006_0165.wav","把温度放大为二十七","把温度放大为二十七。",0,0,9,"轻度 / 正常"
"DF0006_0166.wav","烦请把温度设成三十度","烦请把温度设成三十度。",0,0,10,"轻度 / 正常"
"DF0006_0167.wav","冷藏温度设定两度档","冷藏温度设定两度档。",0,0,9,"轻度 / 正常"
"DF0006_0168.wav","调低三度","调低三度。",0,0,4,"轻度 / 正常"
"DF0006_0169.wav","变温温度设定负两摄氏度","变温温度设定负两摄氏度。",0,0,11,"轻度 / 正常"
"DF0006_0170.wav","关舒睡","关舒睡。",0,0,3,"轻度 / 正常"
"DF0006_0171.wav","打开空调温度到二十一度","打开空调温度到二十一度。",0,0,11,"轻度 / 正常"
"DF0006_0172.wav","冷藏温度设定三摄氏度","冷藏温度设定三摄氏度。",0,0,10,"轻度 / 正常"
"DF0006_0173.wav","冷冻温度调至负十九度","冷冻温度调至负十九度。",0,0,10,"轻度 / 正常"
"DF0006_0174.wav","冷冻温度设定二十二摄氏度档","冷冻温度设定二十二摄氏度档。",0,0,13,"轻度 / 正常"
"DF0006_0175.wav","冷冻温度设定零下二十四摄氏度档","冷冻温度设定零下二十四摄氏度档。",0,0,15,"轻度 / 正常"
"DF0006_0176.wav","变温温度调至零下十摄氏度","变温温度调至零下十摄氏度。",0,0,12,"轻度 / 正常"
"DF0006_0177.wav","请给我把空调温度调整到二十一度","请给我把空调温度调整到21度。",20,3,15,"中度"
"DF0006_0178.wav","变温温度调至负十一摄氏度档","变温温度调至负十一摄氏度档。",0,0,13,"轻度 / 正常"
"DF0006_0179.wav","节能模式","节能模式。",0,0,4,"轻度 / 正常"
"DF0006_0180.wav","升六度","升六度。",0,0,3,"轻度 / 正常"
"DF0006_0181.wav","设置空调温度到二十五","设置空调温度到25。",30,3,10,"中度"
"DF0006_0190.wav","关屏显","关屏显。",0,0,3,"轻度 / 正常"
"DF0006_0191.wav","变温室温度设为三度","变温室温度设为三度。",0,0,9,"轻度 / 正常"
"DF0006_0192.wav","制冷模式","制冷模式。",0,0,4,"轻度 / 正常"
"DF0006_0193.wav","温度调低为二十九","温度调低为29。",37.5,3,8,"重度"
"DF0006_0194.wav","冷藏变温室调至冰镇","冷藏变温室调至冰镇。",0,0,9,"轻度 / 正常"
"DF0006_0195.wav","温度二十度","温度20度。",40,2,5,"重度"
"DF0006_0196.wav","请帮我把空调温度切换成二十九","请帮我把空调温度切换成29。",21.43,3,14,"中度"
"DF0006_0197.wav","ECO关","ECO关。",0,0,4,"轻度 / 正常"
"DF0006_0198.wav","请帮我把温度调大到十九","请帮我把温度调大到十九。",0,0,11,"轻度 / 正常"
"DF0006_0199.wav","我需要把温度调成二十度","我需要把温度调成20度。",18.18,2,11,"中度"
"DF0006_0200.wav","冷藏温度设定八度档","冷藏温度设定八度档。",0,0,9,"轻度 / 正常"
"DF0006_0201.wav","把温度调小到二十九度","把温度调小到29度。",30,3,10,"中度"
"DF0006_0202.wav","变温室温度设为零下八摄氏度档","变温室温度设为零下八摄氏度档。",0,0,14,"轻度 / 正常"
"DF0006_0203.wav","变温温度设为五度","变温温度设为五度。",0,0,8,"轻度 / 正常"
"DF0006_0204.wav","变温温度设定负三摄氏度","变温温度设定负三摄氏度。",0,0,11,"轻度 / 正常"
"DF0006_0205.wav","冷冻温度设定零下十六摄氏度档","冷冻温度设定零下十六摄氏度档。",0,0,14,"轻度 / 正常"
"DF0006_0206.wav","温度降低为二十二度","温度降低为二十二度。",0,0,9,"轻度 / 正常"
"DF0006_0207.wav","变温室温度设定零下两摄氏度","变温室温度设定零下两摄氏度。",0,0,13,"轻度 / 正常"
"DF0006_0208.wav","空调温度切换到二十七","空调温度切换到27。",30,3,10,"中度"
"DF0006_0209.wav","我需要把空调温度换切为二十","我需要把空调温度换切为二十。",0,0,13,"轻度 / 正常"
"DF0006_0210.wav","变温温度设定零下七度","变温温度设定零下七度。",0,0,10,"轻度 / 正常"
"DF0006_0211.wav","帮我随机播放","帮我随机播放。",0,0,6,"轻度 / 正常"
"DF0006_0212.wav","音量太大","营养太大。",50,2,4,"重度"
"DF0006_0213.wav","音量打开","音量打开。",0,0,4,"轻度 / 正常"
"DF0006_0214.wav","给我声音放小","给我声音放小。",0,0,6,"轻度 / 正常"
"DF0006_0215.wav","给我提示","给我提示。",0,0,4,"轻度 / 正常"
"DF0006_0216.wav","调高音量","调高音量。",0,0,4,"轻度 / 正常"
"DF0006_0217.wav","调大音量","调大音量。",0,0,4,"轻度 / 正常"
"DF0006_0218.wav","帮我换一曲歌","帮我换一曲歌。",0,0,6,"轻度 / 正常"
"DF0006_0219.wav","给我声音稍微调高一点","给我声音稍微调高一点。",0,0,10,"轻度 / 正常"
"DF0006_0220.wav","给我声音调小点","给我声音调小点儿。",14.29,1,7,"中度"
"DF0006_0221.wav","帮我换一歌","帮我换一个。",20,1,5,"中度"
"DF0006_0222.wav","给我声音稍微放大一点","给我声音稍微放大一点。",0,0,10,"轻度 / 正常"
"DF0006_0223.wav","给我声音加","给我声音加。",0,0,5,"轻度 / 正常"
"DF0006_0224.wav","帮我音量再大点","帮我营养再大点。",28.57,2,7,"中度"
"DF0006_0225.wav","帮我换一首","帮我换一首。",0,0,5,"轻度 / 正常"
"DF0006_0226.wav","帮我音量减小点","帮我音量减小点。",0,0,7,"轻度 / 正常"
"DF0006_0227.wav","音量太小了","音量太小了。",0,0,5,"轻度 / 正常"
"DF0006_0228.wav","音量高","音量高。",0,0,3,"轻度 / 正常"
"DF0006_0229.wav","给我声音关闭","给我声音关闭。",0,0,6,"轻度 / 正常"
"DF0006_0230.wav","给我声音稍微大一点","给我声音稍微大一点。",0,0,9,"轻度 / 正常"
"DF0006_0231.wav","帮我音量放大点","帮我音乐放大一点。",28.57,2,7,"中度"
"DF0006_0232.wav","帮我音量加大一点","帮我音量加大一点。",0,0,8,"轻度 / 正常"
"DF0006_0233.wav","给我声音调到最小","给我声音调到最小。",0,0,8,"轻度 / 正常"
"DF0006_0234.wav","帮我顺序循环","帮我顺序循环。",0,0,6,"轻度 / 正常"
"DF0006_0235.wav","给我顺序循环","给我顺序循环。",0,0,6,"轻度 / 正常"
"DF0006_0236.wav","帮我音量增强一点","帮我音量增强一点。",0,0,8,"轻度 / 正常"
"DF0006_0237.wav","帮我取消暂停","帮我取消暂停。",0,0,6,"轻度 / 正常"
"DF0006_0238.wav","音量增强一点","营养增强一点。",33.33,2,6,"重度"
"DF0006_0239.wav","给我声音稍微加大一点","给我声音稍微加大一点。",0,0,10,"轻度 / 正常"
"DF0006_0240.wav","帮我音量增大点","帮我营养增大点。",28.57,2,7,"中度"
"DF0006_0241.wav","给我声音太小了","结果声音太小了。",28.57,2,7,"中度"
"DF0006_0243.wav","音量降低","音量降低。",0,0,4,"轻度 / 正常"
"DF0006_0244.wav","取消暂停","取消暂停。",0,0,4,"轻度 / 正常"
"DF0006_0245.wav","音量小点","音量小点。",0,0,4,"轻度 / 正常"
"DF0006_0246.wav","帮我音量稍微减小一点","帮我音量稍微减小一点。",0,0,10,"轻度 / 正常"
"DF0006_0247.wav","下一曲","下一曲。",0,0,3,"轻度 / 正常"
"DF0006_0248.wav","降低音量","降低音量。",0,0,4,"轻度 / 正常"
"DF0006_0249.wav","帮我音量稍微调高一点","帮我音稍微调高一点。",10,1,10,"轻度 / 正常"
"DF0006_0250.wav","音量稍微增大一点","音量稍微增大一点。",0,0,8,"轻度 / 正常"
"DF0006_0251.wav","音量调到最小","音量调到最小。",0,0,6,"轻度 / 正常"
"DF0006_0252.wav","我还要听这个","我还要听这个。",0,0,6,"轻度 / 正常"
"DF0006_0253.wav","音量调到最大","音要调到最大。",16.67,1,6,"中度"
"DF0006_0254.wav","给我声音调高一点","给我声音调高一点。",0,0,8,"轻度 / 正常"
"DF0006_0255.wav","帮我音量调大","帮我音量调大。",0,0,6,"轻度 / 正常"
"DF0006_0256.wav","给我声音降低点","给我声音降低点。",0,0,7,"轻度 / 正常"
"DF0006_0257.wav","帮我音量增加点","帮我量增减减。",42.86,3,7,"重度"
"DF0006_0258.wav","帮我换一歌曲","帮我换一个曲。",16.67,1,6,"中度"
"DF0006_0259.wav","给我声音稍微小点","给我声音稍微小一点。",12.5,1,8,"中度"
"DF0006_0260.wav","帮我音量调高","帮我营养调高。",33.33,2,6,"重度"
"DF0006_0261.wav","帮我音量减弱一点","帮我一样简络一简。",62.5,5,8,"重度"
"DF0006_0262.wav","帮我静音","帮我听音。",25,1,4,"中度"
"DF0006_0263.wav","音量调小一点","音量调小一点。",0,0,6,"轻度 / 正常"
"DF0006_0264.wav","给我声音大一点","给我声音大一点。",0,0,7,"轻度 / 正常"
"DF0006_0265.wav","继续播放","继续播放。",0,0,4,"轻度 / 正常"
"DF0006_0266.wav","帮我换台","帮我发财。",50,2,4,"重度"
"DF0006_0267.wav","帮我换歌","帮我换个。",25,1,4,"中度"
"DF0006_0268.wav","给我声音小一点","给我声音小一点。",0,0,7,"轻度 / 正常"
"DF0006_0269.wav","帮我音量稍微放小一点","帮我音量稍微放小一点。",0,0,10,"轻度 / 正常"
"DF0006_0270.wav","音量大了","热量大啊。",50,2,4,"重度"
"DF0006_0271.wav","语音助理","语音助理。",0,0,4,"轻度 / 正常"
"DF0006_0272.wav","音量降低一点","音量降低一点。",0,0,6,"轻度 / 正常"
"DF0006_0273.wav","帮我音量增强","帮我一样装墙。",66.67,4,6,"重度"
"DF0006_0274.wav","音量稍微减弱一点","音要稍微减弱一点。",12.5,1,8,"中度"
"DF0006_0275.wav","帮我音量加大点","帮我一样加大点。",28.57,2,7,"中度"
"DF0006_0276.wav","音量调大一点","音量调大一点。",0,0,6,"轻度 / 正常"
"DF0006_0277.wav","音量小了","音量小。",25,1,4,"中度"
"DF0006_0278.wav","给我声音小了","给我声音小点。",16.67,1,6,"中度"
"DF0006_0279.wav","给我声音增强点","给我声音增强点。",0,0,7,"轻度 / 正常"
"DF0006_0280.wav","音量增强点","音量增强点。",0,0,5,"轻度 / 正常"
"DF0006_0281.wav","音量放小","音量放小。",0,0,4,"轻度 / 正常"
"DF0006_0282.wav","帮我声音稍微调大一点","帮我声音稍微调大一点。",0,0,10,"轻度 / 正常"
"DF0006_0283.wav","帮我音量高","帮我营养高。",40,2,5,"重度"
"DF0006_0284.wav","帮我换首歌","帮我换首歌。",0,0,5,"轻度 / 正常"
"DF0006_0285.wav","帮我音量放小一点","帮我音量放小一点。",0,0,8,"轻度 / 正常"
"DF0006_0286.wav","帮我换一个电台","帮我换一个电台。",0,0,7,"轻度 / 正常"
"DF0006_0287.wav","音量稍微调小一点","音要稍微调小一点。",12.5,1,8,"中度"
"DF0006_0288.wav","T","TV关闭。",300,3,1,"重度"
"DF0006_0289.wav","WIFI关闭","Wifi关闭。",50,3,6,"重度"
"DF0006_0290.wav","给我声音放大一点","给我声音放大一点。",0,0,8,"轻度 / 正常"
"DF0006_0291.wav","给我声音稍微增大一点","给我声音稍微增大一点。",0,0,10,"轻度 / 正常"
"DF0006_0292.wav","帮我音量降低","帮我营养降脂。",50,3,6,"重度"
"DF0006_0293.wav","音量稍微放大一点","音量稍微放大一点。",0,0,8,"轻度 / 正常"
"DF0006_0294.wav","音量调小","音量调小。",0,0,4,"轻度 / 正常"
"DF0006_0295.wav","帮我音量增强点","帮我一样种强点。",42.86,3,7,"重度"
"DF0006_0296.wav","音量太小","热量太小。",25,1,4,"中度"
"DF0006_0304.wav","帮我降低声音","帮我降低声音。",0,0,6,"轻度 / 正常"
"DF0006_0305.wav","给我随机播放","给我随机播放。",0,0,6,"轻度 / 正常"
"DF0006_0306.wav","音量稍稍微增加一点","营养稍微增加一点。",33.33,3,9,"重度"
"DF0006_0307.wav","调高电视屏显亮度","调高电视屏显亮度。",0,0,8,"轻度 / 正常"
"DF0006_0308.wav","给我声音打开","给我声音打开。",0,0,6,"轻度 / 正常"
"DF0006_0309.wav","帮我音量小了","帮我V R小。",50,3,6,"重度"
"DF0006_0310.wav","帮我停止","帮我停止。",0,0,4,"轻度 / 正常"
"DF0006_0311.wav","七幺八三零二","七幺八三零二。",0,0,6,"轻度 / 正常"
"DF0006_0312.wav","七幺八三零二","七幺八三零二。",0,0,6,"轻度 / 正常"
"DF0006_0313.wav","七幺八三零二","七幺八三零二。",0,0,6,"轻度 / 正常"
"DF0006_0314.wav","幺四零二七一","幺四零二七。",16.67,1,6,"中度"
"DF0006_0315.wav","幺四零二七一","140271。",100,6,6,"重度"
"DF0006_0316.wav","幺四零二七一","140271。",100,6,6,"重度"
"DF0006_0317.wav","六七五八零九","六七五八零九。",0,0,6,"轻度 / 正常"
"DF0006_0318.wav","六七五八零九","六七五八零九。",0,0,6,"轻度 / 正常"
"DF0006_0319.wav","六七五八零九","六七五八零九。",0,0,6,"轻度 / 正常"
"DF0006_0320.wav","三七五八四一","375841。",100,6,6,"重度"
"DF0006_0321.wav","三七五八四一","375841。",100,6,6,"重度"
"DF0006_0322.wav","三七五八四一","三七五八四一。",0,0,6,"轻度 / 正常"
"DF0006_0323.wav","六九三二四五","693245。",100,6,6,"重度"
"DF0006_0324.wav","六九三二四五","693245。",100,6,6,"重度"
"DF0006_0325.wav","六九三二四五","693245。",100,6,6,"重度"
"DF0006_0326.wav","七幺八四五六","七幺八四五六。",0,0,6,"轻度 / 正常"
"DF0006_0327.wav","七幺八四五六","七幺八四五六。",0,0,6,"轻度 / 正常"
"DF0006_0328.wav","七幺八四五六","七幺八四五六。",0,0,6,"轻度 / 正常"
"DF0006_0329.wav","八五九三六幺","八五九三六幺。",0,0,6,"轻度 / 正常"
"DF0006_0330.wav","八五九三六幺","八五九三六幺。",0,0,6,"轻度 / 正常"
"DF0006_0331.wav","八五九三六幺","八五九三六幺。",0,0,6,"轻度 / 正常"
"DF0006_0332.wav","一八二幺六四","1264。",100,6,6,"重度"
"DF0006_0333.wav","一八二幺六四","1264。",100,6,6,"重度"
"DF0006_0334.wav","一八二幺六四","1264。",100,6,6,"重度"
"DF0006_0335.wav","六零九四幺七","二零九四幺七。",16.67,1,6,"中度"
"DF0006_0336.wav","六零九四幺七","六零九四幺七。",0,0,6,"轻度 / 正常"
"DF0006_0337.wav","六零九四幺七","六零九四幺七。",0,0,6,"轻度 / 正常"
"DF0006_0338.wav","零二九一五八","零二九一五八。",0,0,6,"轻度 / 正常"
"DF0006_0339.wav","零二九一五八","零二九一五八。",0,0,6,"轻度 / 正常"
"DF0006_0340.wav","零二九一五八","零二九一五八。",0,0,6,"轻度 / 正常"
"DF0006_0341.wav","你好米雅定时一秒钟开","你好，米亚，定时一秒公开。",20,2,10,"中度"
"DF0006_0342.wav","你好米雅三十秒向左摆","你好，米娅，山水两相老板。",70,7,10,"重度"
"DF0006_0343.wav","你好米雅开下左边找","你好，米娅开下左边找。",11.11,1,9,"中度"
"DF0006_0344.wav","你好米雅开二号","你好，米雅，开二号。",0,0,7,"轻度 / 正常"
"DF0006_0345.wav","你好米雅安防模式","你好，米亚安防模式。",12.5,1,8,"中度"
"DF0006_0346.wav","你好米雅两分二十秒","你好，咪呀，两分二十秒。",22.22,2,9,"中度"
"DF0006_0347.wav","你好米雅抽快一点","你好，喵，抽快一点。",25,2,8,"中度"
"DF0006_0348.wav","你好米雅开黄色光","你好，米亚开黄色光。",12.5,1,8,"中度"
"DF0006_0349.wav","你好米雅灯再暗一些","你好，米啊，灯再暗一些。",11.11,1,9,"中度"
"DF0006_0350.wav","你好米雅我要点餐","你好，咪呀，我要点餐。",25,2,8,"中度"
"DF0006_0351.wav","你好米雅往前走一步","你好，米娅，往前走一步。",11.11,1,9,"中度"
"DF0006_0352.wav","你好米雅音量减小","你好，咪呀，音量减小。",25,2,8,"中度"
"DF0006_0353.wav","你好米雅升高二度","你好，米亚，升高二度。",12.5,1,8,"中度"
"DF0006_0354.wav","你好米雅语音管家","你好，咪呀，语音快讲。",50,4,8,"重度"
"DF0006_0355.wav","你好米雅开正白色光","你好面还正白色光。",33.33,3,9,"重度"
"DF0006_0356.wav","你好米雅冲小点","你耳鸣啊，从小点！",57.14,4,7,"重度"
"DF0006_0357.wav","你好米雅打开制暖","你好，明儿个还去哪儿？",87.5,7,8,"重度"
"DF0006_0358.wav","你好米雅关闭提示音","你好，你啊关闭提示音。",22.22,2,9,"中度"
"DF0006_0359.wav","你好米雅开始扫风","你好，我们俩开始扫风。",37.5,3,8,"重度"
"DF0006_0360.wav","你好米雅夜间模式","你好，明雅夜间模式。",12.5,1,8,"中度"
"DF0006_0361.wav","你好米雅帮忙调大声音","你好，米亚，帮忙调大声音。",10,1,10,"轻度 / 正常"
"DF0006_0362.wav","你好米雅查询状态","你好，米亚查询状态。",12.5,1,8,"中度"
"DF0006_0363.wav","你好米雅顺时针动","你好妙，确实生动。",62.5,5,8,"重度"
"DF0006_0364.wav","你好米雅我需要帮忙","你好咩啊，我需要帮忙。",22.22,2,9,"中度"
"DF0006_0365.wav","你好米雅开启空调低噪模式","你好，米娅开启空调低噪模式。",8.33,1,12,"轻度 / 正常"
"DF0006_0366.wav","你好米雅我需要帮助","你好，明了，我需要帮助。",22.22,2,9,"中度"
"DF0006_0367.wav","你好米雅向右前方走两步","你好，面向右前方，左两步。",27.27,3,11,"中度"
"DF0006_0368.wav","你好米雅红色多点","你好，变红色多一点。",37.5,3,8,"重度"
"DF0006_0369.wav","你好米雅开下左边灶","你好美女，看下左边的。",44.44,4,9,"重度"
"DF0006_0370.wav","你好米雅音量大些","你好，咪呀，一样大蟹。",62.5,5,8,"重度"
"DF0006_0371.wav","你好米雅开下左边灯","你好呀，开下左边灯。",22.22,2,9,"中度"
"DF0006_0372.wav","你好米雅清扫","你好，me亲so.",83.33,5,6,"重度"
"DF0006_0373.wav","你好米雅让扫地机器人清扫地面","你好，米亚，让扫地机器人清扫地面。",7.14,1,14,"轻度 / 正常"
"DF0006_0374.wav","你好米雅升高四度","你好美女啊身高46。",75,6,8,"重度"
"DF0006_0375.wav","你好米雅查询时状态","您好，米亚查询是动态。",44.44,4,9,"重度"
"DF0006_0376.wav","你好米雅风小一点","你好，咪呀，风小一点。",25,2,8,"中度"
"DF0006_0377.wav","你好米雅关清洁","你好，咪呀，光清洁。",42.86,3,7,"重度"
"DF0006_0378.wav","你好米雅开启免提","你好，米亚开启免提。",12.5,1,8,"中度"
"DF0006_0379.wav","你好米雅变温设定五度档","你好，明日变温设定五度档。",18.18,2,11,"中度"
"DF0006_0380.wav","你好米雅退出程序","你好，米亚退出程序。",12.5,1,8,"中度"
"DF0006_0381.wav","你好米雅关闭数据网络","你好你好，关闭数据网络。",20,2,10,"中度"
"DF0006_0382.wav","你好米雅降低温度","你好，Mia相机温度。",62.5,5,8,"重度"
"DF0006_0383.wav","你好米雅单曲循环","你好，咪呀，单曲循环。",25,2,8,"中度"
"DF0006_0384.wav","你好米雅停左右扫风","你好，明雅，请左右扫风。",22.22,2,9,"中度"
"DF0006_0385.wav","你好米雅向左转","你喊mate想屌屌啊。",128.57,9,7,"重度"
"DF0006_0386.wav","你好米雅打开电加热","你好，咪啊，打开电加热。",22.22,2,9,"中度"
"DF0006_0387.wav","你好米雅七十二度","你眼里面七十二度。",37.5,3,8,"重度"
"DF0006_0388.wav","你好米雅天气怎么样","你好，米亚天气怎么样？",11.11,1,9,"中度"
"DF0006_0389.wav","你好米雅确认关闭","你好，man啊，确认关闭。",50,4,8,"重度"
"DF0006_0390.wav","你好米雅恢复出厂设置","你好，米娅，恢复出厂设置。",10,1,10,"轻度 / 正常"
"DF0006_0391.wav","蓝牙","远扬。",100,2,2,"重度"
"DF0006_0392.wav","蓝牙","蓝牙。",0,0,2,"轻度 / 正常"
"DF0006_0393.wav","蓝牙","来呀。",100,2,2,"重度"
"DF0006_0394.wav","下","下。",0,0,1,"轻度 / 正常"
"DF0006_0395.wav","下","下。",0,0,1,"轻度 / 正常"
"DF0006_0396.wav","下","下。",0,0,1,"轻度 / 正常"
"DF0006_0397.wav","帮我取笑暂停","帮我取消感情。",50,3,6,"重度"
"DF0006_0398.wav","帮我取笑暂停","帮我取消暂停。",16.67,1,6,"中度"
"DF0006_0399.wav","帮我取笑暂停","帮我取消暂停。",16.67,1,6,"中度"
"DF0006_0400.wav","全部","全部。",0,0,2,"轻度 / 正常"
"DF0006_0401.wav","全部","全部。",0,0,2,"轻度 / 正常"
"DF0006_0402.wav","全部","全部。",0,0,2,"轻度 / 正常"
"DF0006_0403.wav","开","开。",0,0,1,"轻度 / 正常"
"DF0006_0404.wav","开","开。",0,0,1,"轻度 / 正常"
"DF0006_0405.wav","开","开。",0,0,1,"轻度 / 正常"
"DF0007_0001.wav","小度小度","跳高跳高。",100,4,4,"重度"
"DF0007_0002.wav","小度小度","特供特供。",100,4,4,"重度"
"DF0007_0003.wav","小度小度","鸡好哥鸡好哥。",150,6,4,"重度"
"DF0007_0004.wav","小度小度","跳高，跳高。",100,4,4,"重度"
"DF0007_0005.wav","小度小度","跳高跳高。",100,4,4,"重度"
"DF0007_0006.wav","小爱同学","小艾公主。",75,3,4,"重度"
"DF0007_0007.wav","小爱同学","我爱考题。",75,3,4,"重度"
"DF0007_0008.wav","小爱同学","可爱狗鞋。",75,3,4,"重度"
"DF0007_0009.wav","小爱同学","做AI工具。",125,5,4,"重度"
"DF0007_0010.wav","小爱同学","我就爱狗鸡。",100,4,4,"重度"
"DF0007_0011.wav","天猫精灵","阶跃星辰有多牛？",175,7,4,"重度"
"DF0007_0012.wav","天猫精灵","芥末芥末。",100,4,4,"重度"
"DF0007_0013.wav","天猫精灵","黑猫警长。",75,3,4,"重度"
"DF0007_0014.wav","天猫精灵","怎么定义？",100,4,4,"重度"
"DF0007_0015.wav","天猫精灵","黑猫警长。",75,3,4,"重度"
"DF0007_0016.wav","你好小布","你爱他不？",75,3,4,"重度"
"DF0007_0017.wav","你好小布","你让我走不？",100,4,4,"重度"
"DF0007_0018.wav","你好小布","你爱要不。",75,3,4,"重度"
"DF0007_0019.wav","你好小布","你要就不。",75,3,4,"重度"
"DF0007_0020.wav","你好小布","你二舅不？",75,3,4,"重度"
"DF0007_0021.wav","小艺小艺","乔伊，乔伊。",100,4,4,"重度"
"DF0007_0022.wav","小艺小艺","いやいいじゃんいいじゃん。",300,12,4,"重度"
"DF0007_0023.wav","小艺小艺","乔一乔一。",100,4,4,"重度"
"DF0007_0024.wav","小艺小艺","甲一甲一。",100,4,4,"重度"
"DF0007_0025.wav","小艺小艺","小雨小雨。",50,2,4,"重度"
"DF0007_0026.wav","小溪你好","之后穿耳哦。",125,5,4,"重度"
"DF0007_0027.wav","小溪你好","听我听你啊。",100,4,4,"重度"
"DF0007_0028.wav","小溪你好","哦穿越哦。",100,4,4,"重度"
"DF0007_0029.wav","小溪你好","你抛弃你了。",100,4,4,"重度"
"DF0007_0030.wav","小溪你好","就要亲你了。",100,4,4,"重度"
"DF0007_0031.wav","Hey Siri","北京。",100,7,7,"重度"
"DF0007_0032.wav","Hey Siri","耳机。",100,7,7,"重度"
"DF0007_0033.wav","Hey Siri","奥体。",100,7,7,"重度"
"DF0007_0034.wav","Hey Siri","嗯，对啊。",100,7,7,"重度"
"DF0007_0035.wav","Hey Siri","あいついいや。",100,7,7,"重度"
"DF0007_0036.wav","小德小德","价格价格。",100,4,4,"重度"
"DF0007_0037.wav","小德小德","然之后讲然之后讲。",200,8,4,"重度"
"DF0007_0038.wav","小德小德","价格价格。",100,4,4,"重度"
"DF0007_0039.wav","小德小德","价格价格。",100,4,4,"重度"
"DF0007_0040.wav","小德小德","价格价格。",100,4,4,"重度"
"DF0007_0041.wav","灵犀灵犀","めっちゃめっちゃ。",200,8,4,"重度"
"DF0007_0042.wav","灵犀灵犀","年轻年轻。",100,4,4,"重度"
"DF0007_0043.wav","灵犀灵犀","南京小吃。",100,4,4,"重度"
"DF0007_0044.wav","灵犀灵犀","女性女性。",100,4,4,"重度"
"DF0007_0045.wav","灵犀灵犀","你是女生。",100,4,4,"重度"
"DF0007_0046.wav","小冰小冰","叫杯叫杯。",100,4,4,"重度"
"DF0007_0047.wav","小冰小冰","小兵小兵。",50,2,4,"重度"
"DF0007_0048.wav","小冰小冰","赵薇赵薇。",100,4,4,"重度"
"DF0007_0049.wav","小冰小冰","价杯价杯。",100,4,4,"重度"
"DF0007_0051.wav","打开空调","你看天空中。",100,4,4,"重度"
"DF0007_0052.wav","打开空调","开车空调。",50,2,4,"重度"
"DF0007_0053.wav","打开空调","价太高咗。",100,4,4,"重度"
"DF0007_0054.wav","关闭空调","减肥攻略。",100,4,4,"重度"
"DF0007_0055.wav","关闭空调","阶跃空调。",50,2,4,"重度"
"DF0007_0056.wav","关闭空调","减肥攻略。",100,4,4,"重度"
"DF0007_0057.wav","开灯","姐姐。",100,2,2,"重度"
"DF0007_0058.wav","开灯","姐姐。",100,2,2,"重度"
"DF0007_0059.wav","开灯","いやいやいや。",300,6,2,"重度"
"DF0007_0060.wav","关灯","姐姐。",100,2,2,"重度"
"DF0007_0061.wav","关灯","这这。",100,2,2,"重度"
"DF0007_0062.wav","关灯","姐姐。",100,2,2,"重度"
"DF0007_0063.wav","拉开窗帘","ああちょっとごめんね。",250,10,4,"重度"
"DF0007_0064.wav","拉开窗帘","阿姐讲嘢。",100,4,4,"重度"
"DF0007_0065.wav","拉开窗帘","会いたいかもしれない。",250,10,4,"重度"
"DF0007_0066.wav","关闭窗帘","练臂高举。",100,4,4,"重度"
"DF0007_0067.wav","关闭窗帘","唔知系边个嘢。",150,6,4,"重度"
"DF0007_0068.wav","关闭窗帘","你惊边个野。",125,5,4,"重度"
"DF0007_0069.wav","全部打开","直播答题。",100,4,4,"重度"
"DF0007_0070.wav","全部打开","でもぼくはだあれ？",200,8,4,"重度"
"DF0007_0071.wav","全部打开","主播界嘅。",100,4,4,"重度"
"DF0007_0072.wav","全部关闭","热播嫁俾你。",125,5,4,"重度"
